Student_ID,Student_Name,Gender,Branch,Year_of_Study,CGPA,10th_Percentage,12th_Percentage,Active_Backlogs,History_of_Backlogs,Skills,Certifications,Internships_Completed,Placed_Status
24eg108f25,Divya,Female,CHEM,1,9.76,95,93,2,3,"MATLAB, Java, C, Python, SQL",0,2,No
24eg103a26,Amit,Male,ECE,4,4.64,52,50,0,3,"C, Java, MATLAB, SQL, DL, ML",1,0,Yes
24eg104f27,Rohit,Male,IT,4,8.58,63,79,0,0,"DL, AutoCAD, Python, MATLAB",0,3,No
24eg104a28,Amit,Male,IT,1,6.01,75,82,0,1,"C, ML",0,3,No
24eg104e29,Naveen,Male,IT,2,9.03,69,69,3,4,"C, AutoCAD, MATLAB",3,1,No
24eg104c30,Vikas,Male,IT,2,7.95,92,52,0,0,"C, ML, AutoCAD, MATLAB",3,3,No
24eg107a31,Anjali,Female,EEE,1,5.48,76,79,2,2,"C, MATLAB, DL, SQL, Java",3,0,No
24eg108e32,Rohit,Male,CHEM,1,4.29,80,79,0,3,"C, Python, MATLAB",2,3,No
24eg107f33,Arjun,Male,EEE,2,4.68,66,70,0,1,"DL, SQL, Java, AutoCAD",3,2,Yes
24eg105b34,Vikas,Male,MECH,3,5.81,88,98,0,0,"C, Python, AutoCAD, ML, SQL",0,0,No
24eg102c35,Rahul,Male,AIML,4,7.12,93,92,0,1,"DL, ML, C, SQL, MATLAB, Python",1,3,No
24eg103b36,Anjali,Female,ECE,4,8.97,69,91,2,4,"SQL, ML, AutoCAD, DL, C, Python",2,2,No
24eg105e37,Divya,Female,MECH,1,4.67,80,66,0,0,"MATLAB, C, Python, DL",0,1,Yes
24eg106e38,Amit,Male,CIVIL,2,9.44,89,86,2,5,"C, Java",3,1,No
24eg102d39,Arjun,Male,AIML,3,6.62,85,75,0,0,"Python, ML, DL, C",1,2,No
24eg108a40,Suresh,Male,CHEM,4,4.44,66,87,0,2,"C, DL, SQL, MATLAB",3,3,No
24eg102c41,Kiran,Male,AIML,1,6.15,78,56,0,3,"SQL, Java, C, Python, ML",3,3,No
24eg105b42,Suresh,Male,MECH,4,5.72,67,67,0,2,"DL, Python, MATLAB, ML",0,3,No
24eg101e43,Naveen,Male,CSE,2,5.23,51,86,0,0,"AutoCAD, Java",3,3,Yes
24eg104c44,Priya,Female,IT,1,4.89,87,60,4,5,"SQL, Python",0,0,Yes
24eg107b45,Sneha,Female,EEE,4,9.43,90,62,0,1,"Java, AutoCAD, DL, MATLAB",1,1,No
24eg108e46,Rohit,Male,CHEM,4,5.48,74,68,2,5,"Python, DL, SQL, Java, ML",2,1,Yes
24eg101e47,Rohit,Male,CSE,3,4.04,84,64,0,2,"DL, SQL",3,0,No
24eg107e48,Naveen,Male,EEE,3,7.72,100,97,1,1,"Python, ML, DL, MATLAB, C, SQL",3,0,Yes
24eg106a49,Amit,Male,CIVIL,1,8.13,56,84,3,5,"Java, C",2,1,Yes
24eg108e50,Amit,Male,CHEM,1,5.97,50,73,0,0,"ML, Java",0,2,No
24eg104b51,Pooja,Female,IT,3,5.64,76,46,0,0,"Java, Python",2,3,Yes
24eg107e52,Sneha,Female,EEE,2,9.66,71,64,0,3,"AutoCAD, ML, C",2,3,Yes
24eg101a53,Sneha,Female,CSE,1,5.96,97,45,0,2,"ML, DL, C, AutoCAD",2,1,Yes
24eg101e54,Arjun,Male,CSE,4,7.12,78,58,0,1,"C, Java, DL, MATLAB, Python",0,3,No
24eg105e55,Vikas,Male,MECH,3,6.8,92,51,0,1,"C, SQL",2,1,Yes
24eg101c56,Rahul,Male,CSE,2,4.4,60,94,0,2,"MATLAB, C, Python, Java, ML",2,1,Yes
24eg103b57,Priya,Female,ECE,2,5.39,88,69,0,1,"Java, AutoCAD, ML, MATLAB, Python, C",2,3,No
24eg106b58,Anjali,Female,CIVIL,4,9.51,100,55,0,0,"SQL, DL, MATLAB",2,2,Yes
24eg108a59,Neha,Female,CHEM,1,6.09,64,48,4,5,"AutoCAD, C, SQL, Python",0,0,Yes
24eg107f60,Arjun,Male,EEE,3,8.54,52,64,1,1,"ML, MATLAB, Python, Java, SQL",1,0,No
24eg101b61,Kavya,Female,CSE,3,5.66,96,88,0,1,"SQL, AutoCAD, DL, ML",3,3,Yes
24eg104b62,Suresh,Male,IT,3,7.52,63,55,0,3,"ML, SQL, AutoCAD",3,1,Yes
24eg105c63,Naveen,Male,MECH,3,8.8,91,79,0,0,"AutoCAD, SQL, ML, Java, C",3,2,No
24eg105b64,Sneha,Female,MECH,3,8.96,51,94,0,1,"Python, C",0,0,No
24eg106d65,Pooja,Female,CIVIL,4,6.37,53,59,4,7,"DL, MATLAB, C, AutoCAD, Python, ML",1,3,No
24eg102c66,Divya,Female,AIML,2,6.84,69,57,2,3,"DL, Python, AutoCAD, ML, C, MATLAB",3,1,No
24eg103a67,Vikas,Male,ECE,3,5.88,53,80,2,4,"DL, MATLAB, SQL, C, AutoCAD, Python",3,0,No
24eg102a68,Sneha,Female,AIML,4,8.57,73,65,0,0,"DL, SQL",2,2,Yes
24eg106f69,Vikas,Male,CIVIL,1,6.52,90,79,0,3,"Java, MATLAB",2,0,No
24eg106b70,Amit,Male,CIVIL,4,5.91,51,56,0,0,"Java, C",0,2,No
24eg108a71,Neha,Female,CHEM,2,4.21,64,77,2,5,"MATLAB, AutoCAD",0,1,No
24eg107a72,Rahul,Male,EEE,3,7.15,55,46,0,2,"MATLAB, C, DL, ML, SQL",2,2,No
24eg104c73,Vikas,Male,IT,3,4.59,50,88,0,1,"ML, Java, Python, DL",0,0,No
24eg107b74,Rohit,Male,EEE,4,4.22,66,85,1,4,"ML, MATLAB, SQL",0,1,No
24eg101f75,Rohit,Male,CSE,1,7.64,94,85,0,3,"SQL, MATLAB, AutoCAD, Python, Java, DL",1,1,Yes
24eg102c76,Naveen,Male,AIML,4,8.73,60,95,2,3,"MATLAB, Python, C, SQL, ML, Java",0,1,No
24eg102a77,Rohit,Male,AIML,2,9.48,73,73,0,3,"MATLAB, Python, DL",0,1,No
24eg103a78,Suresh,Male,ECE,3,4.32,54,61,0,1,"AutoCAD, ML, DL, Java, SQL",1,1,No
24eg101f79,Rahul,Male,CSE,2,5.72,84,53,2,4,"ML, AutoCAD, C, Java, SQL, DL",3,2,No
24eg101e80,Neha,Female,CSE,1,7.14,100,65,3,6,"AutoCAD, Java, Python, SQL, MATLAB",1,0,No
24eg105a81,Naveen,Male,MECH,4,9.81,92,84,3,4,"ML, C",1,2,No
24eg103a82,Priya,Female,ECE,2,9.02,94,51,0,3,"DL, C",1,3,Yes
24eg103c83,Priya,Female,ECE,1,5.74,83,51,2,5,"MATLAB, DL, ML",1,0,No
24eg106d84,Kavya,Female,CIVIL,2,6.86,84,87,0,3,"DL, C, SQL, AutoCAD, Java, MATLAB",1,2,Yes
24eg102b85,Rahul,Male,AIML,4,7.27,99,85,4,4,"Python, DL, SQL, AutoCAD, Java",1,2,No
24eg106e86,Arjun,Male,CIVIL,4,6.66,87,64,0,1,"C, DL, SQL, Python",1,2,Yes
24eg101f87,Kavya,Female,CSE,4,9.2,92,64,0,1,"DL, MATLAB",0,1,Yes
24eg101c88,Neha,Female,CSE,3,6.08,80,46,0,1,"AutoCAD, Java, SQL, Python, MATLAB, DL",3,1,Yes
24eg107e89,Kavya,Female,EEE,4,7.1,53,67,0,2,"AutoCAD, ML, SQL",0,0,No
24eg104e90,Vikas,Male,IT,2,6.94,59,95,4,5,"Python, AutoCAD",3,2,No
24eg108b91,Divya,Female,CHEM,4,8.8,79,76,0,3,"SQL, Python, MATLAB, Java, C",1,3,No
24eg106a92,Anjali,Female,CIVIL,2,9.42,78,65,0,3,"Java, MATLAB, C, Python, ML, AutoCAD",0,3,No
24eg105b93,Pooja,Female,MECH,2,4.15,51,45,0,0,"ML, Java",3,0,No
24eg105b94,Rahul,Male,MECH,4,5.48,55,52,0,3,"SQL, Python, MATLAB, ML, C, AutoCAD",2,2,No
24eg106f95,Arjun,Male,CIVIL,1,9.96,91,78,4,7,"SQL, C, Java, MATLAB, ML",3,1,Yes
24eg105f96,Neha,Female,MECH,3,7.47,68,66,4,4,"SQL, DL, AutoCAD, ML, MATLAB",1,2,No
24eg103f97,Amit,Male,ECE,2,9.01,75,57,0,1,"MATLAB, Java, AutoCAD, SQL, Python",0,1,No
24eg106b98,Kiran,Male,CIVIL,4,6.95,71,73,0,2,"MATLAB, SQL, ML",2,2,No
24eg104f99,Vikas,Male,IT,4,7.13,56,72,4,6,"Python, MATLAB, SQL, C, DL, ML",1,3,Yes
24eg107f00,Rahul,Male,EEE,3,9.92,89,61,1,2,"SQL, AutoCAD, C, Java, Python, DL",2,3,No
24eg107d01,Amit,Male,EEE,3,9.72,62,70,0,1,"Java, AutoCAD, DL, ML",1,1,No
24eg103c02,Priya,Female,ECE,4,4.58,79,100,0,3,"DL, SQL, Java, C, Python, AutoCAD",1,1,Yes
24eg106f03,Rohit,Male,CIVIL,3,7.52,85,60,0,2,"ML, Python, SQL, MATLAB",0,3,No
24eg105d04,Amit,Male,MECH,3,7.33,60,85,3,5,"Java, SQL, MATLAB, C, ML",3,2,No
24eg105d05,Sneha,Female,MECH,3,4.86,84,87,0,1,"DL, Python, MATLAB, C",0,0,No
24eg104f06,Rohit,Male,IT,3,9.21,74,79,0,2,"ML, DL, AutoCAD",2,1,No
24eg103e07,Priya,Female,ECE,3,6.38,75,66,0,1,"MATLAB, AutoCAD, SQL, Java, C, Python",1,2,No
24eg101b08,Amit,Male,CSE,1,7.12,63,90,0,3,"Java, ML",0,0,No
24eg103d09,Pooja,Female,ECE,2,6.39,54,65,0,1,"ML, Python, AutoCAD, DL",1,1,Yes
24eg102a10,Priya,Female,AIML,2,6.07,95,97,3,6,"C, DL, ML, Python, AutoCAD, Java",2,3,Yes
24eg106b11,Neha,Female,CIVIL,3,6.33,66,93,0,3,"MATLAB, ML",3,1,Yes
24eg108a12,Pooja,Female,CHEM,2,6.96,58,97,0,1,"C, DL, Java, Python, ML",0,1,Yes
24eg101b13,Neha,Female,CSE,3,9.61,92,59,3,3,"Java, C",0,0,Yes
24eg103e14,Pooja,Female,ECE,1,4.94,81,45,0,1,"DL, Python, AutoCAD, SQL, ML",2,1,Yes
24eg104e15,Anjali,Female,IT,4,8.44,73,59,0,2,"SQL, ML, C",0,0,No
24eg107d16,Vikas,Male,EEE,1,5.09,78,65,0,1,"ML, DL",3,2,Yes
24eg107d17,Rohit,Male,EEE,2,4.57,93,46,0,0,"SQL, DL, C, Python, ML",0,1,Yes
24eg102c18,Neha,Female,AIML,1,9.45,86,51,0,0,"C, Python, Java, DL, ML, MATLAB",0,2,Yes
24eg102f19,Kavya,Female,AIML,3,9.77,54,64,3,4,"DL, Python, AutoCAD, SQL",1,3,Yes
24eg104f20,Neha,Female,IT,4,5.21,71,46,2,3,"Java, DL, C, MATLAB, Python",2,2,Yes
24eg105b21,Rahul,Male,MECH,3,5.57,65,76,2,5,"AutoCAD, ML",1,2,No
24eg103c22,Sneha,Female,ECE,1,6.54,96,61,4,7,"Java, DL, Python, C, SQL, MATLAB",0,3,No
24eg102a23,Vikas,Male,AIML,4,6.3,65,49,4,4,"Java, C, DL, AutoCAD, MATLAB",0,3,Yes
24eg103d24,Amit,Male,ECE,4,5.13,93,59,0,0,"Java, Python, MATLAB, C",0,1,Yes
24eg101f25,Pooja,Female,CSE,1,8.42,64,96,0,1,"MATLAB, DL, Java, SQL",3,2,Yes
24eg106e26,Rohit,Male,CIVIL,1,5.33,54,61,0,2,"ML, Python, AutoCAD, DL, C, Java",0,2,No
24eg106f27,Amit,Male,CIVIL,3,7.32,73,97,0,0,"C, AutoCAD, Java, ML",1,2,No
24eg102f28,Rahul,Male,AIML,1,4.59,81,100,3,3,"ML, Java, Python",1,0,Yes
24eg103e29,Sneha,Female,ECE,2,9.25,50,76,0,3,"DL, AutoCAD, ML",0,3,No
24eg101f30,Anjali,Female,CSE,2,8.76,96,55,0,1,"Java, MATLAB, C",2,2,No
24eg103c31,Neha,Female,ECE,1,7.83,60,83,3,4,"Java, AutoCAD, MATLAB, SQL",3,0,Yes
24eg104c32,Rahul,Male,IT,4,6.18,55,78,4,7,"Python, DL, SQL",1,0,No
24eg103d33,Amit,Male,ECE,2,9.44,84,69,0,0,"ML, AutoCAD, C, MATLAB",1,2,Yes
24eg104c34,Rahul,Male,IT,4,9.0,78,46,0,1,"C, MATLAB, AutoCAD",0,1,No
24eg108e35,Pooja,Female,CHEM,3,5.82,67,63,0,2,"DL, MATLAB, SQL",1,0,Yes
24eg106a36,Suresh,Male,CIVIL,3,6.76,98,80,0,1,"SQL, Python, Java",1,1,No
24eg108b37,Arjun,Male,CHEM,4,8.57,80,80,0,1,"SQL, ML, AutoCAD, Python, Java",0,3,No
24eg106a38,Anjali,Female,CIVIL,3,5.43,61,47,0,1,"Java, SQL, MATLAB",3,2,Yes
24eg103b39,Rohit,Male,ECE,1,8.93,63,99,0,2,"Java, C, MATLAB",3,3,No
24eg101c40,Pooja,Female,CSE,4,7.72,94,61,0,0,"SQL, MATLAB, C, DL, ML, AutoCAD",1,1,Yes
24eg108d41,Divya,Female,CHEM,1,6.3,73,45,0,1,"DL, AutoCAD",0,0,No
24eg102a42,Pooja,Female,AIML,3,9.31,93,91,0,2,"AutoCAD, Python, ML, SQL, Java",1,0,No
24eg104a43,Vikas,Male,IT,2,5.72,71,70,0,1,"AutoCAD, C, Python, MATLAB, DL, Java",1,1,No
24eg105d44,Rohit,Male,MECH,1,4.24,75,88,0,0,"MATLAB, C, SQL, ML, Java, AutoCAD",1,1,No
24eg106f45,Vikas,Male,CIVIL,4,7.37,87,50,0,0,"ML, MATLAB",1,2,No
24eg102f46,Arjun,Male,AIML,3,4.9,69,97,2,2,"DL, SQL, AutoCAD, Python",2,1,No
24eg108c47,Pooja,Female,CHEM,1,4.9,99,91,0,0,"ML, DL",0,1,No
24eg103f48,Kavya,Female,ECE,3,6.78,66,83,0,1,"SQL, Java, DL, ML, AutoCAD",0,2,Yes
24eg107b49,Anjali,Female,EEE,2,4.04,87,67,0,0,"SQL, C, DL, ML, AutoCAD",1,0,No
24eg105f50,Suresh,Male,MECH,2,8.28,100,77,0,1,"Java, AutoCAD, Python, C, ML",2,0,Yes
24eg104d51,Kiran,Male,IT,3,4.99,69,78,3,3,"Python, Java, AutoCAD, SQL",3,0,No
24eg108c52,Amit,Male,CHEM,1,7.29,90,89,0,1,"Java, AutoCAD, C",3,3,Yes
24eg105d53,Divya,Female,MECH,1,5.86,73,73,0,2,"DL, C, AutoCAD, SQL, Java",0,1,No
24eg105f54,Neha,Female,MECH,3,4.8,93,63,0,0,"C, Java, AutoCAD, DL, Python",0,3,No
24eg104f55,Priya,Female,IT,1,5.71,96,61,3,4,"MATLAB, Java, SQL, AutoCAD",1,1,No
24eg102e56,Kavya,Female,AIML,2,6.92,71,70,0,3,"MATLAB, SQL",2,2,Yes
24eg108b57,Pooja,Female,CHEM,2,8.27,68,84,0,1,"Python, C, AutoCAD, Java, ML",0,3,Yes
24eg106f58,Pooja,Female,CIVIL,4,6.26,91,64,0,1,"MATLAB, Java, DL",2,2,No
24eg101e59,Priya,Female,CSE,1,6.26,56,67,0,3,"Python, MATLAB, SQL, C",2,0,No
24eg107a60,Priya,Female,EEE,2,4.32,89,70,0,1,"DL, Java, C, ML",0,3,No
24eg102e61,Naveen,Male,AIML,3,4.82,89,47,0,3,"MATLAB, AutoCAD",2,0,No
24eg102b62,Priya,Female,AIML,4,8.71,59,68,0,2,"Python, AutoCAD, SQL, ML",0,0,No
24eg108e63,Amit,Male,CHEM,2,4.26,90,56,0,1,"SQL, Java, AutoCAD, ML",1,3,No
24eg103b64,Sneha,Female,ECE,3,8.66,93,54,0,2,"ML, Java, C",1,1,No
24eg105e65,Arjun,Male,MECH,4,7.82,60,93,0,2,"Java, ML",1,3,No
24eg101f66,Arjun,Male,CSE,2,9.43,65,100,2,4,"C, ML, AutoCAD, SQL, DL, MATLAB",0,2,No
24eg102d67,Sneha,Female,AIML,3,7.83,93,56,0,3,"C, Python, SQL, ML, MATLAB, Java",2,2,No
24eg104b68,Divya,Female,IT,2,8.89,76,80,0,0,"ML, MATLAB, C, AutoCAD",2,0,No
24eg102d69,Divya,Female,AIML,4,9.37,89,75,0,0,"C, DL, ML, SQL, AutoCAD, Python",3,3,No
24eg108c70,Priya,Female,CHEM,4,4.99,60,64,0,2,"ML, C, SQL",2,3,No
24eg104d71,Arjun,Male,IT,4,9.22,66,66,0,0,"DL, ML, C, SQL, AutoCAD",0,1,No
24eg104f72,Arjun,Male,IT,3,5.21,58,76,0,2,"C, Python",3,1,No
24eg106c73,Kiran,Male,CIVIL,4,4.51,100,53,0,0,"Python, Java, AutoCAD",2,0,Yes
24eg107e74,Vikas,Male,EEE,2,4.88,75,61,0,3,"AutoCAD, ML, DL",0,0,No
24eg108f75,Neha,Female,CHEM,2,7.24,81,82,4,7,"Java, ML, Python",1,0,Yes
24eg106c76,Kavya,Female,CIVIL,4,7.82,60,48,0,1,"DL, Java, SQL",3,2,No
24eg106b77,Amit,Male,CIVIL,4,5.72,53,81,3,4,"MATLAB, C, SQL, Python, DL",2,2,Yes
24eg108e78,Priya,Female,CHEM,3,6.27,95,61,1,4,"C, DL, ML, Python, SQL, Java",1,1,Yes
24eg107a79,Divya,Female,EEE,4,8.53,56,54,3,3,"SQL, DL",3,0,No
24eg104c80,Divya,Female,IT,2,4.65,56,98,4,6,"C, ML",0,3,No
24eg107f81,Divya,Female,EEE,4,5.45,85,45,4,7,"Python, C, ML, DL",1,3,No
24eg102a82,Neha,Female,AIML,3,7.53,60,49,0,3,"Python, C",3,2,No
24eg108e83,Neha,Female,CHEM,4,5.45,83,45,0,2,"MATLAB, AutoCAD",1,3,Yes
24eg103c84,Divya,Female,ECE,1,7.84,60,96,0,3,"AutoCAD, ML, Java",3,3,No
24eg107e85,Arjun,Male,EEE,1,5.81,73,63,0,3,"Python, ML",2,1,Yes
24eg103f86,Pooja,Female,ECE,2,5.4,63,59,2,5,"C, Python, SQL, ML",0,3,No
24eg102a87,Kiran,Male,AIML,3,4.46,98,60,0,2,"SQL, Java, AutoCAD, ML, C, Python",0,3,No
24eg103e88,Vikas,Male,ECE,3,4.15,61,80,0,3,"MATLAB, SQL",3,2,No
24eg106a89,Pooja,Female,CIVIL,2,7.92,91,72,2,4,"ML, Python, MATLAB, Java, C",1,3,No
24eg107f90,Priya,Female,EEE,1,8.56,72,74,0,3,"SQL, DL",1,1,No
24eg106c91,Amit,Male,CIVIL,2,6.27,66,83,0,2,"C, Java, DL, Python, MATLAB, ML",1,0,Yes
24eg101d92,Pooja,Female,CSE,2,8.41,59,53,0,2,"SQL, Java, Python, AutoCAD, MATLAB, C",2,1,No
24eg103c93,Rohit,Male,ECE,2,7.86,71,69,0,0,"DL, Python, MATLAB, Java, SQL",3,1,No
24eg107f94,Divya,Female,EEE,1,5.86,76,67,0,2,"ML, MATLAB, Python",3,0,No
24eg101a95,Divya,Female,CSE,1,6.19,56,78,0,2,"ML, MATLAB, C, Python, SQL",3,2,No
24eg107b96,Amit,Male,EEE,3,9.33,59,74,4,4,"DL, C, Java, MATLAB",2,0,No
24eg101e97,Amit,Male,CSE,1,5.31,61,57,0,2,"C, Python, ML, DL",1,3,Yes
24eg105b98,Neha,Female,MECH,1,4.22,84,78,0,0,"DL, Java, Python, ML",2,1,Yes
24eg106f99,Sneha,Female,CIVIL,1,6.52,84,87,2,4,"AutoCAD, Python, DL, MATLAB",3,0,No
24eg101c00,Priya,Female,CSE,3,4.11,65,72,4,4,"Python, MATLAB, Java",3,0,No
24eg102c01,Neha,Female,AIML,2,7.17,85,86,0,1,"C, AutoCAD, Python, ML",0,2,No
24eg104e02,Naveen,Male,IT,4,6.25,52,63,0,2,"Java, C, DL, MATLAB, AutoCAD, ML",0,3,No
24eg104d03,Kiran,Male,IT,2,6.42,72,81,0,2,"ML, AutoCAD, C, SQL, DL, Python",2,1,Yes
24eg105c04,Naveen,Male,MECH,1,8.85,99,56,0,1,"DL, C, Python, ML, SQL, MATLAB",3,0,Yes
24eg104c05,Rahul,Male,IT,2,8.26,99,87,0,2,"AutoCAD, C, SQL, Java, Python, MATLAB",3,1,No
24eg102d06,Anjali,Female,AIML,2,4.11,90,87,0,2,"SQL, C, MATLAB, AutoCAD",1,1,Yes
24eg106b07,Arjun,Male,CIVIL,2,8.31,71,59,0,1,"AutoCAD, Java, C, Python, DL",2,0,Yes
24eg107b08,Arjun,Male,EEE,4,7.02,56,88,0,0,"ML, C",1,1,Yes
24eg102a09,Kiran,Male,AIML,1,7.95,73,63,0,0,"DL, C",1,0,No
24eg103a10,Pooja,Female,ECE,2,8.21,99,75,4,7,"AutoCAD, DL, ML, SQL, Java",3,3,No
24eg106e11,Arjun,Male,CIVIL,4,6.38,53,70,0,3,"DL, ML",3,0,No
24eg101e12,Neha,Female,CSE,3,6.18,95,86,0,1,"DL, ML, SQL, AutoCAD",3,3,Yes
24eg101c13,Vikas,Male,CSE,1,9.11,80,87,0,3,"Python, C, Java, MATLAB, DL",0,0,Yes
24eg102d14,Divya,Female,AIML,2,6.74,99,57,3,5,"Java, ML, DL, AutoCAD",1,0,Yes
24eg108a15,Neha,Female,CHEM,1,6.22,62,51,2,5,"DL, C",2,3,Yes
24eg103e16,Kavya,Female,ECE,3,7.12,81,73,0,2,"Java, C, AutoCAD",1,0,No
24eg103d17,Divya,Female,ECE,4,4.32,50,85,0,1,"Java, AutoCAD, DL, Python, C, MATLAB",0,2,No
24eg107b18,Rahul,Male,EEE,4,8.55,92,97,0,3,"Java, SQL",2,0,Yes
24eg106d19,Sneha,Female,CIVIL,1,7.53,70,67,0,2,"SQL, DL, Java, AutoCAD, ML, Python",3,1,No
24eg105a20,Rahul,Male,MECH,2,9.52,92,53,0,3,"AutoCAD, Java, C",0,2,No
24eg107b21,Arjun,Male,EEE,1,6.6,74,70,0,2,"AutoCAD, C, MATLAB, ML, SQL, Java",3,3,No
24eg102b22,Vikas,Male,AIML,4,8.38,92,92,0,2,"MATLAB, AutoCAD, ML, Java, C",2,0,No
24eg101d23,Priya,Female,CSE,2,7.01,92,86,1,3,"MATLAB, ML, Python, AutoCAD, Java",3,3,No
24eg107f24,Neha,Female,EEE,1,9.21,51,49,0,1,"Python, SQL, MATLAB, AutoCAD, DL, C",2,2,No
24eg108a25,Sneha,Female,CHEM,2,6.06,51,70,0,2,"Java, C, SQL, ML, Python, DL",2,1,No
24eg107b26,Kiran,Male,EEE,4,9.33,62,58,0,0,"SQL, AutoCAD, ML",0,2,No
24eg107e27,Naveen,Male,EEE,3,8.94,90,79,0,3,"AutoCAD, DL, MATLAB",2,1,No
24eg102c28,Divya,Female,AIML,2,6.45,50,45,0,2,"SQL, Python, AutoCAD, ML",2,2,No
24eg105e29,Kavya,Female,MECH,3,9.43,95,89,0,1,"DL, MATLAB, SQL, ML",0,2,Yes
24eg107a30,Suresh,Male,EEE,1,9.26,50,70,0,3,"MATLAB, SQL, ML, Python",2,0,Yes
24eg103d31,Priya,Female,ECE,4,6.07,88,92,1,1,"MATLAB, DL, AutoCAD, C",3,3,No
24eg101a32,Sneha,Female,CSE,1,7.98,53,46,2,2,"Python, Java, ML",1,2,Yes
24eg104c33,Kavya,Female,IT,4,7.06,66,57,0,0,"MATLAB, Python, DL, Java, ML",0,2,No
24eg105f34,Vikas,Male,MECH,4,8.17,53,85,0,1,"SQL, Java, AutoCAD, C",0,2,No
24eg106c35,Arjun,Male,CIVIL,1,9.56,68,98,0,0,"Java, MATLAB, ML, SQL",2,0,No
24eg102c36,Pooja,Female,AIML,1,4.84,91,45,0,1,"C, Java, SQL, MATLAB",0,1,No
24eg102b37,Neha,Female,AIML,2,8.5,64,66,2,4,"C, SQL",2,3,Yes
24eg108e38,Kavya,Female,CHEM,4,4.39,57,63,0,2,"C, SQL, Java, DL",1,0,Yes
24eg106a39,Suresh,Male,CIVIL,3,6.63,58,73,0,3,"C, Java, Python",0,3,Yes
24eg103f40,Vikas,Male,ECE,2,6.37,83,50,2,2,"MATLAB, ML, C, DL, Python",3,2,No
24eg106f41,Arjun,Male,CIVIL,4,8.61,94,79,3,3,"ML, AutoCAD, C, MATLAB",1,0,No
24eg104c42,Amit,Male,IT,4,7.02,53,48,1,2,"C, Python, AutoCAD",0,1,No
24eg102f43,Vikas,Male,AIML,4,4.01,52,59,0,0,"AutoCAD, MATLAB, Python, ML, C, SQL",2,0,No
24eg104e44,Rohit,Male,IT,1,9.39,51,85,0,2,"C, MATLAB",0,1,Yes
24eg105e45,Priya,Female,MECH,1,6.44,75,88,0,3,"Python, C, SQL, Java",2,3,Yes
24eg102b46,Neha,Female,AIML,1,8.44,74,57,0,2,"MATLAB, DL, SQL, ML, AutoCAD",2,3,No
24eg101c47,Kavya,Female,CSE,1,5.21,65,53,0,0,"C, DL",3,0,Yes
