Student_ID,Student_Name,Gender,Branch,Year_of_Study,CGPA,10th_Percentage,12th_Percentage,Active_Backlogs,History_of_Backlogs,Skills,Certifications,Internships_Completed,Placed_Status,Eligible_Companies,Eligible_Count
EG00070,Aarav Pandey,Male,ECE,2nd Year,6.49,78.5,68.3,0,0,"Tableau, Flask, Node.js, Java, DSA",Udemy DSA,0,No,"TCS, Wipro, Cognizant, HCL",4
EG00071,Uma Hegde,Male,CIVIL,4th Year,7.6,77.6,86.2,0,0,"AWS, C++, Java","Oracle Java, Coursera ML, Udemy DSA",2,No,Deloitte,1
EG00072,Sneha Shastri,Male,EEE,3rd Year,8.89,70.8,85.5,0,0,"Keras, Node.js, Git",Coursera ML,2,Yes,"TCS, Wipro, Cognizant, HCL",4
EG00073,Varun Reddy,Male,IT,3rd Year,7.16,91.9,78.9,0,1,"TensorFlow, DSA, Tableau","Coursera ML, Oracle Java, AWS Cloud Practitioner",0,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00074,Videm Shah,Female,CSE,1st Year,8.92,86.6,65.0,0,0,"HTML/CSS, C++, Deep Learning, AWS, Flask",HackerRank SQL,3,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00075,Vishnu Prasad,Male,AIML,3rd Year,4.32,91.2,73.3,2,2,"Git, Flask, Keras, TensorFlow","Oracle Java, Udemy DSA, NPTEL Python",0,No,None,0
EG00076,Pranav Tiwari,Male,ECE,1st Year,8.1,78.9,87.2,0,1,"C++, R, Tableau, HTML/CSS","Cisco CCNA, AWS Cloud Practitioner",0,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00077,Divya Varma,Male,AIML,4th Year,7.3,75.4,92.6,3,3,"SQL, React, C++","Oracle Java, NPTEL Python",2,No,None,0
EG00078,Zara Reddy,Male,ECE,1st Year,6.87,71.2,74.4,0,0,"C++, React, Power BI, Django, AWS, Flask",IBM Data Science,1,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00079,Suresh Gupta,Female,ECE,2nd Year,7.3,85.6,75.3,2,2,"Java, Deep Learning, Django, AWS, Keras, JavaScript","AWS Cloud Practitioner, Udemy DSA",2,No,None,0
EG00080,Vishnu Singh,Male,IT,3rd Year,5.01,71.6,76.2,0,0,"Deep Learning, Git, Python, HTML/CSS, C++",,0,No,None,0
EG00081,Samhita Pandey,Female,CSE,4th Year,6.96,100.0,81.0,1,3,"JavaScript, Tableau","Oracle Java, Coursera ML, AWS Cloud Practitioner",2,Yes,"Wipro, HCL",2
EG00082,Venkat Mehta,Female,MECH,3rd Year,7.59,68.9,71.6,2,2,"React, JavaScript","Google Data Analytics, Udemy DSA",2,Yes,None,0
EG00083,Nikhil Kumar,Female,MECH,4th Year,8.83,84.7,46.2,0,0,"TensorFlow, Django, DSA, Flask, Machine Learning",Google Data Analytics,1,Yes,"Wipro, HCL, Deloitte",3
EG00084,Rajesh Hegde,Female,ECE,2nd Year,6.63,97.7,91.1,2,4,"Flask, JavaScript, TensorFlow, HTML/CSS, Django","HackerRank SQL, IBM Data Science, NPTEL Python",1,Yes,None,0
EG00085,Shiva Verma,Male,CHEM,2nd Year,6.31,88.0,97.7,0,0,"DSA, HTML/CSS, JavaScript, Deep Learning",NPTEL Python,3,No,None,0
EG00086,Arjun Joshi,Female,CSE,2nd Year,6.65,83.8,71.3,0,0,"R, Keras, SQL, Git","NPTEL Python, AWS Cloud Practitioner",1,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00087,Jayanth Pandey,Male,CSE,1st Year,8.21,72.3,66.3,0,0,"Node.js, AWS, TensorFlow, Git","Coursera ML, Google Data Analytics",1,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00088,Isha Shah,Female,ECE,4th Year,7.56,68.2,76.5,0,2,"Deep Learning, Keras, Power BI, Java, Node.js","Cisco CCNA, Udemy DSA",1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00089,Rohit Karnam,Male,ECE,2nd Year,6.62,89.7,75.9,0,1,"Deep Learning, Flask","Oracle Java, Udemy DSA, NPTEL Python",0,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00090,Santosh Rao,Male,CHEM,1st Year,7.76,97.1,89.0,3,3,"HTML/CSS, Git",,3,Yes,None,0
EG00091,Deepa Pandey,Male,CHEM,4th Year,7.31,77.6,78.6,1,1,"HTML/CSS, C++","Coursera ML, HackerRank SQL",0,No,None,0
EG00092,Vijay Pillai,Male,IT,4th Year,8.27,70.6,69.3,1,3,"AWS, Git, DSA, Node.js, Flask",,1,No,"Wipro, HCL",2
EG00093,Yamini Babu,Male,CIVIL,3rd Year,6.43,57.4,63.5,0,0,"Flask, JavaScript, Power BI",,1,Yes,None,0
EG00094,Aarav Gupta,Male,MECH,2nd Year,6.84,72.2,87.5,0,0,"Deep Learning, Node.js, HTML/CSS","Cisco CCNA, NPTEL Python",1,No,"Wipro, HCL",2
EG00095,Naveen Rao,Female,MECH,2nd Year,6.77,80.9,84.6,0,0,"Python, DSA","Coursera ML, IBM Data Science, Udemy DSA",0,No,"Wipro, HCL",2
EG00096,Videm Iyer,Female,CIVIL,2nd Year,5.59,98.0,89.7,0,1,"AWS, Tableau, R",,1,Yes,None,0
EG00097,Videm Iyer,Male,MECH,4th Year,7.53,88.7,67.3,0,2,"HTML/CSS, SQL, Deep Learning, Java","NPTEL Python, Udemy DSA",2,No,"Wipro, HCL, Deloitte",3
EG00098,Manoj Singh,Female,CSE,2nd Year,7.49,85.1,98.2,0,1,"Keras, React",Coursera ML,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00099,Vishnu Pillai,Female,EEE,1st Year,7.21,78.0,58.8,1,3,"Power BI, Flask","NPTEL Python, IBM Data Science, HackerRank SQL",0,No,"Wipro, HCL",2
EG00100,Anika Desai,Female,ECE,1st Year,6.94,76.2,85.8,0,1,"Flask, Java","Oracle Java, HackerRank SQL",1,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00101,Vikas Naidu,Female,AIML,3rd Year,5.64,96.1,57.0,0,0,"Flask, Deep Learning, Node.js, Machine Learning, React",AWS Cloud Practitioner,1,No,HCL,1
EG00102,Harish Naidu,Female,CSE,2nd Year,6.74,84.0,69.3,0,0,"Git, HTML/CSS, Keras, Power BI, AWS, Deep Learning",,1,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00103,Ravi Murthy,Female,ECE,1st Year,6.82,61.0,95.2,0,1,"Machine Learning, AWS, Flask",Udemy DSA,0,No,"TCS, Wipro, Accenture, Cognizant, HCL",5
EG00104,Naveen Iyengar,Female,AIML,3rd Year,6.32,75.3,87.1,0,0,"AWS, SQL, Flask","Cisco CCNA, Oracle Java, AWS Cloud Practitioner",0,No,"TCS, Wipro, Cognizant, HCL",4
EG00105,Chetan Singh,Female,CIVIL,2nd Year,7.02,73.4,72.0,0,1,"R, AWS, Java, Tableau, DSA",,1,No,Deloitte,1
EG00106,Videm Prasad,Female,IT,1st Year,7.64,76.5,72.3,0,1,"AWS, DSA",,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00107,Meera Varma,Male,CSE,1st Year,9.27,87.6,79.1,2,2,"Deep Learning, Node.js, TensorFlow, DSA, SQL, Java",Cisco CCNA,1,No,None,0
EG00108,Gayatri Babu,Female,CSE,4th Year,7.39,80.9,83.7,0,0,"Django, Python, React, Node.js, Power BI, Flask","AWS Cloud Practitioner, HackerRank SQL",0,No,"TCS, Infosys, Wipro, Accenture, Cognizant, HCL, Deloitte",7
EG00109,Suresh Varma,Male,CIVIL,4th Year,7.48,81.2,91.8,1,1,"Python, TensorFlow","Oracle Java, Coursera ML, IBM Data Science",0,No,None,0
EG00110,Farhan Karnam,Male,AIML,4th Year,7.12,95.1,73.0,0,0,"TensorFlow, JavaScript","Oracle Java, Udemy DSA, NPTEL Python",2,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00111,Gayatri Varma,Male,AIML,3rd Year,5.09,75.0,60.3,0,1,"Node.js, HTML/CSS, React, Django, C++, Python",Coursera ML,1,No,None,0
EG00112,Kiran Krishnan,Female,CSE,4th Year,7.17,100.0,79.7,1,1,"React, HTML/CSS, Python, Keras, Deep Learning",HackerRank SQL,0,No,"Wipro, HCL",2
EG00113,Aarav Prasad,Male,CSE,1st Year,7.27,75.3,73.0,0,2,"Flask, Tableau",,0,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00114,Rohit Desai,Female,MECH,3rd Year,9.91,82.9,63.7,0,0,"Flask, Machine Learning","Udemy DSA, Coursera ML",0,No,"Wipro, HCL, Deloitte",3
EG00115,Pooja Kumar,Male,EEE,4th Year,6.99,79.2,81.3,0,1,"Power BI, C++, Git","Google Data Analytics, Coursera ML, NPTEL Python",1,Yes,"TCS, Wipro, Cognizant, HCL",4
EG00116,Deepa Shah,Male,AIML,1st Year,7.53,83.2,75.7,1,1,"DSA, Java, R",NPTEL Python,1,No,"Wipro, HCL",2
EG00117,Vijay Verma,Female,AIML,2nd Year,7.16,86.4,81.4,0,0,"Power BI, DSA, Django, R",,0,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00118,Nikhil Desai,Female,IT,4th Year,5.91,86.3,68.2,0,0,"Python, SQL, HTML/CSS, Tableau, Deep Learning, TensorFlow",,1,No,HCL,1
EG00119,Manoj Iyengar,Male,MECH,4th Year,8.46,74.5,83.4,0,0,"Java, Python, C++, Keras",Google Data Analytics,0,Yes,"Wipro, HCL, Deloitte",3
EG00120,Varun Babu,Female,CSE,1st Year,8.03,70.8,63.5,0,1,"Tableau, Python, DSA, React","NPTEL Python, Google Data Analytics, AWS Cloud Practitioner",0,No,"TCS, Infosys, Wipro, Accenture, Cognizant, HCL, Amazon, Microsoft, Deloitte",9
EG00121,Chetan Prasad,Male,EEE,3rd Year,8.07,100.0,68.9,1,3,"Keras, Flask, SQL, DSA",,2,No,"Wipro, HCL",2
EG00122,Sarvani Rajan,Male,ECE,3rd Year,6.2,77.2,75.3,1,1,"Machine Learning, HTML/CSS","Cisco CCNA, Udemy DSA",1,Yes,"Wipro, HCL",2
EG00123,Isha Verma,Female,IT,4th Year,8.74,89.0,97.2,0,0,"Python, C++, Tableau, React, JavaScript","Google Data Analytics, IBM Data Science",2,No,"TCS, Infosys, Wipro, Accenture, Cognizant, HCL, Deloitte",7
EG00124,Isha Tiwari,Female,CHEM,4th Year,5.66,65.9,86.6,0,1,"HTML/CSS, Machine Learning, Flask, React, Deep Learning, DSA","AWS Cloud Practitioner, Coursera ML",0,No,None,0
EG00125,Akash Murthy,Female,AIML,3rd Year,7.85,79.2,89.8,2,3,"Machine Learning, React",Udemy DSA,0,Yes,None,0
EG00126,Naveen Rao,Male,ECE,4th Year,9.61,80.7,93.6,0,0,"SQL, C++, Flask, HTML/CSS, Node.js, Keras",,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00127,Naveen Murthy,Male,ECE,3rd Year,6.11,86.7,100.0,1,1,"Java, HTML/CSS",,1,Yes,"Wipro, HCL",2
EG00128,Bhavya Sharma,Female,CIVIL,4th Year,6.58,54.8,78.5,0,0,"React, Machine Learning, Power BI, Deep Learning","IBM Data Science, Udemy DSA",1,Yes,None,0
EG00129,Shiva Gupta,Male,IT,3rd Year,7.31,83.7,93.6,0,0,"Node.js, JavaScript, Deep Learning, React, HTML/CSS, AWS",,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00130,Priya Verma,Female,EEE,4th Year,6.65,70.5,89.1,2,2,"JavaScript, R","NPTEL Python, Oracle Java",0,No,None,0
EG00131,Vijay Verma,Male,IT,3rd Year,5.49,85.2,89.0,0,0,"HTML/CSS, Machine Learning, Node.js, Flask, AWS",,1,No,None,0
EG00132,Aditi Mehta,Male,IT,3rd Year,7.28,71.6,97.5,1,1,"HTML/CSS, Deep Learning, Machine Learning, AWS","IBM Data Science, HackerRank SQL, Udemy DSA",2,Yes,"Wipro, HCL",2
EG00133,Neha Bhat,Female,IT,2nd Year,6.03,73.4,73.4,0,0,"DSA, HTML/CSS, Machine Learning, Django, React","Coursera ML, Udemy DSA, Oracle Java",1,No,"TCS, Wipro, Cognizant, HCL",4
EG00134,Neha Varma,Female,CSE,4th Year,7.72,79.3,72.5,0,0,"React, DSA, Git",Udemy DSA,0,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00135,Harish Gupta,Female,CIVIL,2nd Year,6.19,71.5,81.5,1,1,"Power BI, Java, JavaScript","IBM Data Science, Oracle Java",1,No,None,0
EG00136,Akash Gupta,Female,IT,1st Year,8.9,77.2,76.0,0,0,"Machine Learning, Git, Keras",HackerRank SQL,1,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00137,Kiran Pandey,Male,AIML,4th Year,6.34,70.1,81.5,1,1,"Power BI, SQL, HTML/CSS, Tableau",,0,No,"Wipro, HCL",2
EG00138,Priya Bhat,Female,EEE,3rd Year,6.85,63.7,95.2,4,4,"JavaScript, DSA, Node.js, C++, Keras, SQL",IBM Data Science,1,No,None,0
EG00139,Ravi Shah,Female,CHEM,2nd Year,8.09,92.2,72.7,3,3,"Git, Django","AWS Cloud Practitioner, Google Data Analytics, NPTEL Python",3,No,None,0
EG00140,Uma Gupta,Female,AIML,4th Year,5.85,69.0,74.6,1,2,"Django, C++",,0,No,HCL,1
EG00141,Gayatri Rajan,Female,IT,2nd Year,7.45,80.2,79.9,0,0,"Machine Learning, DSA, Git, Node.js, SQL, Power BI","Coursera ML, Cisco CCNA, AWS Cloud Practitioner",0,No,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
EG00142,Kavya Pillai,Male,AIML,1st Year,8.64,89.5,75.5,0,1,"Git, TensorFlow, React","NPTEL Python, IBM Data Science, Cisco CCNA",1,Yes,"TCS, Wipro, Accenture, Cognizant, HCL, Deloitte",6
